PACKET_NUM,VALIDITY,SCET,FRAC_SEC,SID,ACQ_TIME,CUR_MODE,PREV_MODE,COMPR,SHUT_EN,MCP_EN,ANL_EN,TC_REJ,ERR_CRT,TC_CRT,EE_WR,ERR_CNT,TC_CNT,LST_TC_TYP_ACC,LST_TC_STYP_ACC,LST_TC_TYP_EXE,LST_TC_STYP_EXE,LST_TC_TYP_REJ,LST_TC_STYP_REJ,LST_TC_TYP_FEX,LST_TC_STYP_FEX,PRM_SW_VER,EEPRM_SW_VER,PRM_CKS,EEPRM_CKS,RAM_FAI_HI,RAM_FAI_LOW,RAM_NUM_FAI,P3_3V,P5V,N5V,P2V,N2V,FPGA_TEMP,MPA_VCC,MCP_TEMP,PZ_CUR,SHT_RMS,N12V,P12V,PCOL_V,NCOL_V,MCP_HV,PCOL_CUR,NCOL_CUR,MCP_CUR,SHT_TEMP,DAC_TEMP,END_MARK
1,0,609324563,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18618,29502,0,0,0,1484,2205,1551,1791,1770,1691,2,199,2764,562,30,3,0,0,0,1876,1867,0,1681,1687,65535
2,0,609324564,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18618,29502,0,0,0,1481,2203,1550,1792,1770,1689,0,197,2727,255,28,3,0,0,0,1873,1865,0,1680,1687,65535
3,0,609324566,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18618,29502,0,0,0,1480,2207,1554,1792,1771,1693,3,200,2817,145,27,3,0,0,0,1875,1866,0,1680,1688,65535
4,0,609324567,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18618,29502,0,0,0,1482,2209,1550,1792,1770,1692,5,200,2818,106,27,2,0,0,0,1875,1866,0,1681,1690,65535
5,0,609324568,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18618,29502,0,0,0,1482,2206,1549,1792,1771,1692,0,200,2818,92,27,2,0,0,0,1875,1865,0,1681,1690,65535
6,0,609324570,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18618,29502,0,0,0,1480,2206,1553,1792,1771,1692,8,198,2818,88,27,2,0,0,0,1874,1864,0,1680,1690,65535
7,0,609324571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18618,29502,0,0,0,1482,2205,1550,1792,1770,1694,0,198,2818,86,26,2,0,0,0,1874,1866,0,1680,1691,65535
8,0,609324572,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18618,29502,0,0,0,1482,2205,1551,1792,1770,1699,0,198,2819,84,26,3,0,0,0,1875,1867,0,1681,1692,65535
9,0,609324574,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18618,29502,0,0,0,1481,2209,1550,1792,1770,1691,1,199,2819,83,26,2,0,0,0,1875,1866,0,1681,1692,65535
